#,FORM #,Image,,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,Accessibility-1,What do you know about this submission?-1,Is this temporary?-1,FIRST NAME,LAST NAME,EMAIL,APPROVED,VERIFIED
479,1,https://drive.google.com/file/d/0B5to-PIZsWUjMDhadFBQbzdkajQ/view?usp=sharing,,Lois Hole mural,41933.57847,95th street,I wonder who Lois was? #publicart #openartyeg #yeg #curious http://t.co/e3MD6h52wl,Public Art,53.563447,-113.487079,Exterior,I don't know anything about it,Permanent,,,,YES,YES
478,0,https://drive.google.com/file/d/0B5to-PIZsWUjMEh6V3RKM0xMbE0/view?usp=sharing,,House Troll,41937.02431,"10424, 124 Street NW, Edmonton, Alberta, T5N 1R6, Canada",N/A,"Weird or Wacky,Public Art,Mainly Historical,Trusted Reports",53.547021,-113.536226,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
477,0,https://drive.google.com/file/d/0B5to-PIZsWUjaHlCWThDVHh0aTA/view?usp=sharing,,The Abstract Fountain,41937.02014,Alberta Provincial Museum grounds,N/A,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
476,0,https://drive.google.com/file/d/0B5to-PIZsWUjM1FNQUZpZmZySXM/view?usp=sharing,,Kwakiutl Totem Pole,41937.01389,Alberta Provincial Museum grounds,"The Kawkiutl Totem Pole was donated by the indian people of British Columbia to commemorate the centenary of the union of BC with Canada. This pole is found on the legislature grounds in Edmonton, Alberta.
Donated by the Native Indian people of British Columbia to commemorate the centenary of the union, July 20, 1871 of the Province of British Columbia with Canada.
This pole was carved at Victoria, British Columbia by Oscar Matilpi of the Turnour Island Indian Band. 
This pole was a project of the First Citizens Fund and the British Columbia Centennial '71 Committee.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
475,0,https://drive.google.com/file/d/0B5to-PIZsWUjLWNueTRFTi00NTQ/view?usp=sharing,,Iron Sculpture,41937.01181,10434-122 St.,Contemporary art,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
474,0,https://drive.google.com/file/d/0B5to-PIZsWUjbEVnM0FSejRNRGc/view?usp=sharing,,Artwork created by the Youth at iHuman Youth Society,41937.00833,123 St. 124 Ave.,Artwork created by the Youth at iHuman Youth Society,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
473,0,,,Mural on the Koutouki Greek Taverna,41937.00208,10719 Ave 124 St,Looks amazing!,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
472,0,,,Contemporary art,41936.98194,103 Ave Rur Hill (99 St),Contemporary art,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,,Luba,Lubchenko,,YES,NO
471,0,,,Constable Ezio Farone,41936.97708,11004-97 Ave.,"CONSTABLE EZIO FARAONE, member of Edmonton Police Service. Killed in the line of duty June 25th 1990. Constable Faraone stopped a suspect vehicle fleeing the scene of a bank robbery. While attempting to arrest the only visible suspect, the driver, Constable Faraone was shot and killed by a second suspect hiding in the back seat. He died instantly at 33 years of age. Constable Faraone was committed to his family, his work and his community.","Mainly Historical,Public Art,Weird or Wacky,Trusted Reports",53.544178,-113.490049,Exterior,I don't know anything about it,,Luba,Lubchenko,,YES,NO
470,0,,,Mural Atomic Zombie,41936.97083,10121-124 Street,Located on the south wall of the tattoo shop.,"Weird or Wacky,Public Art,Mainly Historical,Trusted Reports",53.542112,-113.535539,Exterior,I don't know anything about it,,,,,YES,NO
469,0,,,Sculptured Mural Jasper House Apartments,41936.95903,"12202, Jasper Avenue NW, Allendale, Edmonton, Alberta, T5K 0L1, Canada","Designed by: John A. MacDonald Architect
The Jasper House apartments, prominently located on Jasper Avenue west of downtown, exemplify many of the Structural Expressionist tendencies.Jasper House incorporates a sculpted mural hung from the fa̤ade, which is composed of glass on metal framing and adds a visual punch of colour to the muted tones of the rectilinear fa̤ade.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.540674,-113.529818,Exterior,I don't know anything about it,,Luba,Lubchennko,lubarom@yahoo.com,YES,NO
451,1,https://drive.google.com/file/d/0B5to-PIZsWUjTHFKbXhWMnVEUzA/view?usp=sharing,,Metal athlete sculptures for #AvenueofChampions #a...,41930.64236,Avenue of Champions,Metal athlete sculptures for #AvenueofChampions #abave - in the middle of 101 st 118 ave traffic circle #openartyeg http://t.co/L3GBKQmA5u,"Public Art,Trusted Reports",53.572251,-113.493777,Exterior,I don't know anything about it,Permanent,,,,YES,YES
452,1,https://drive.google.com/file/d/0B5to-PIZsWUjc0J3MnRSM3cxSE0/view?usp=sharing,,Northgate Transit Centre #openartyeg http://t.co/z...,41930.64167,Northgate Transit Centre,Northgate Transit Centre #openartyeg http://t.co/zSwcomyDRX,"Public Art,Trusted Reports",53.599934,-113.489034,Exterior,I don't know anything about it,Permanent,,,,YES,YES
453,1,https://drive.google.com/file/d/0B5to-PIZsWUjcV9PNFJpT1RtX1U/view?usp=sharing,,48 st & 118 ave - horse sign's been used to advertise every new business that's been in here #openartyeg ,41930.51042,East Edmonton,48 st & 118 ave - horse sign's been used to advertise every new business that's been in here #openartyeg http://t.co/SnWFDz7dcf,"Public Art,Trusted Reports",53.570525,-113.415328,Exterior,I don't know anything about it,Permanent,,,,YES,YES
448,1,,,King of Clubs by Peter Hide,41929.64236,"12845 102 Ave NW, Edmonton","In King of Clubs, massive, simple forms are dispersed to create a complex outline suggestive of an enthroned figure. The central form of the figure can be seen as the folds of a robe or perhaps the fluted surface of a Greek column.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.54318,-113.544104,Exterior,I don't know anything about it,,Luba,,lubarom@yahoo.com,YES,NO
447,1,,,Harbin Gate,41929.62431,"97 Street - 102 Avenue, Edmonton","When facing the gate from downtown:
* the gate in the middle - represents present
* the gate on the left - represents past
* the gate to the right - represents feature","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.534361,-113.506508,Exterior,I don't know anything about it,Permanent,Luba,,lubarom@yahoo.com,YES,YES
446,1,,,Swirl Tryptich,41925.60417,ENTS,"Mix Media Painting by Edmonton artist Karly Kulpa, Co-founder of The Collective Scribble. The paintings are located in the lobby of ENTS (Edmonton New Technology Society) where The Collective Scribble has their office/studio","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.554759,-113.514699,Interior Not Accessible after standard business hours,I know more and would like to talk about it,Permanent,,,info@collectivescribble.com,YES,YES
328,1,https://drive.google.com/file/d/0B5to-PIZsWUjSnA3Q05BdzVEbXc/view?usp=sharing,https://drive.google.com/file/d/0B5to-PIZsWUjU3Fkc3BLX25lb0E/view?usp=sharing,Ccis artistic terrazo,41924.51944,CCIS,Ccis artistic terrazo @UAlberta by Scott Parsons #openartyeg http://t.co/uOfTatSs97,Public Art,53.527929,-113.524863,Interior Not Accessible after standard business hours,I don't know anything about it,Permanent,,,,YES,YES
327,1,https://drive.google.com/file/d/0B5to-PIZsWUjTGg5aXlKZ1FsdDQ/view?usp=sharing,,The Famous Five mural,41923.57569,Downtown,The Famous Five #openartyeg http://t.co/1R5rB9V2WS,Public Art,53.539882,-113.495382,Exterior,I don't know anything about it,Permanent,,,,YES,YES
326,1,https://drive.google.com/file/d/0B5to-PIZsWUjNHdib0NNLUtOeGs/view?usp=sharing,,Metal sculpture outside the store Where Fairies Live,41923.45903,Where Fairies Live,#openartyeg  Metal sculpture outside the store Where Fairies Live http://t.co/iZJbNzEiDG,Weird or Wacky,53.515046,-113.499562,Exterior,I don't know anything about it,Permanent,,,,YES,YES
325,1,https://drive.google.com/file/d/0B5to-PIZsWUjQkVKa0dvTC1rSW8/view?usp=sharing,https://drive.google.com/file/d/0B5to-PIZsWUjV3IxNG1PQlZ2SWM/view?usp=sharing,playground art,41922.73264,South Edmonton,#Openartyeg playground art. http://t.co/VbkYAoQJEf,"Public Art,Weird or Wacky",53.503056,-113.517416,Exterior,I don't know anything about it,Permanent,,,,YES,YES
324,1,,,Sidewalk prints and art,41922.73125,Park Allen,Kid generated playground art. #openartyeg http://t.co/DiHS9oRETl,"Mainly Historical,Weird or Wacky",53.503025,-113.51735,Exterior,I don't know anything about it,Permanent,,,,YES,YES
323,1,,,hand painted horse,41922.72639,Park Allen,This hand painted horse is locked to a lampost in Parkallen. #openartyeg http://t.co/uATquo0DB2,Weird or Wacky,53.50171,-113.520444,Exterior,I don't know anything about it,,,,,YES,YES
322,1,,,Lawn art in Parkallen,41922.72361,Park Allen,#openartyeg Lawn art in Parkallen. 2 pieces. http://t.co/oZJjvgCZCY,Weird or Wacky,53.500233,-113.52024,Exterior,I don't know anything about it,,,,,YES,YES
321,1,,,Large metal sculpture in front lawn in Allendale,41921.70694,Allendale,Large metal sculpture in front lawn in Allendale.  #openartYEG http://t.co/eSrPklfERB,Weird or Wacky,53.499167,-113.510452,Exterior,I don't know anything about it,Permanent,,,,YES,YES
320,1,,,Affordable Storage Sign,41919.75417,103 ave,#openartyeg always liked this sign http://t.co/S4Otq1Gyg6,Weird or Wacky,53.544517,-113.497707,Exterior,I don't know anything about it,Permanent,,,,YES,YES
319,1,,,Between two worlds by Ron wigglesworth photos,41924.51667,CCIS,Between two worlds by Ron wigglesworth photos @UAlberta #ccis #openartyeg http://t.co/DzQSEThUCH,"Public Art,Trusted Reports",53.528944,-113.52485,Exterior,I don't know anything about it,Permanent,,,,YES,YES
314,1,,,Alley murals 118th ave,41923.58125,118th ave,Alley murals - south side of 118ave betw 93 & 94 sts #openartyeg http://t.co/MRnj9JwqfT,"Public Art,Trusted Reports",53.570456,-113.484984,Exterior,I don't know anything about it,,,,,YES,YES
305,1,,,Sports mural,41923.50208,118th ave,@cfl_esks mural west wall of old #shoppersdrugmart 95 st &amp; 118 ave #abave #wbi118 #openartyeg http://t.co/CBZK4dlHEh,"Public Art,Trusted Reports",53.570575,-113.487304,Exterior,I don't know anything about it,Permanent,,,,YES,YES
306,1,,,Utility box turned apple juice carton,41923.50139,118th ave,Utility box turned apple juice carton @AlbertaAvenue parking lot 93st 118 ave #abave #wbi118 #openartyeg http://t.co/QLv1SNjbb1,"Public Art,Trusted Reports",53.570616,-113.484258,Exterior,I don't know anything about it,Permanent,,,,YES,YES
307,1,,,Sculptures by Alberta Avenue hall,41923.50069,118th ave,Sculptures by @AlbertaAvenue hall parking 93st &amp; 118 ave #abave #wbi118 #openartyeg http://t.co/ZWFqjnOBUh,"Public Art,Trusted Reports",53.570589,-113.483314,Exterior,I don't know anything about it,Permanent,,,,YES,YES
309,1,,,Murals facing 118 ave on Alberta Avenue hall,41923.5,118th ave,Murals facing 118 ave on @AlbertaAvenue hall #abave #wbi118 #openartyeg http://t.co/lGfCR5ab1Q,"Public Art,Trusted Reports",53.570589,-113.483314,Exterior,I don't know anything about it,Permanent,,,,YES,YES
312,1,,,Mural on the side wall of Popular Bakery 93st &amp...,41923.49792,Popular Bakery,Mural on the side wall of Popular Bakery 93st &amp; 118 ave #abave #wbi118 #openartyeg,"Public Art,Mainly Historical,Trusted Reports",53.570469,-113.484409,Exterior,I don't know anything about it,Permanent,,,,YES,YES
300,1,,,Robert Burns,41920.68264,Hotel McDonald in downtown Edmonton,Famous Scottish poet Robbie Burns statue in front of the Hotel McDonald in downtown Edmonton.,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.54025,-113.490033,Exterior,I don't know anything about it,Permanent,Luba,Lubchenko,lubarom@yahoo.com,YES,NO
299,1,,,Mahatma Gandhi,41920.67986,"South of the main branch of the public library in Edmonton, Alberta.","Mohandas Karamchand Gandhi born October 2, 1869 and died January 30, 1948 was a major political and spiritual leader of India and the Indian independence movement. 
Gandhi practised and advocated non-violence and truth, even in the most difficult situations. He was a student of Hindu philosophy, he lived simply, organizing an ashram that was self-sufficient in its needs.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.542622,-113.489212,Exterior,I'd like to know more,Permanent,Luba,Lubchenko,,YES,YES
298,1,,,J Percy Page school 10 pillars painted,41919.75069,J Percy Page school,#openartyeg J Percy Page school 10 pillars painted with multicultural theme http://t.co/0ihs1heXVm,"Public Art,Trusted Reports",53.45707,-113.447034,Exterior,I don't know anything about it,Permanent,,,,YES,YES
294,0,,,Ortona Friendship Fountain,41917.84722,"Giovanni Caboto Park, 108A Avenue NW, Edmonton, Alberta, T5G 0A2, Canada","In memory of the Loyal Edmonton Regiment Veterans who fought at Battle of Ortona, Italy, December 21-28, 1943.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.556439,-113.483954,Exterior,I don't know anything about it,Permanent,,,,YES,NO
293,0,,,Frank Spinelli Sculpture,41917.81042,"10905, 95 Street NW, Edmonton, Alberta, T6G1K8, Canada","In 1959, Frank Spinelli bought a small store with partner Remiro Zalunardo, on the corner of 95th Street and 108th Avenue. About 1964, he took over the store and the Italian Centre Shop grew to a wholesale empire which supplies stores and restaurants throughout western Canada. His wife, daughter Teresa and son Pietro, all worked in the store.","Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.556534,-113.484892,Exterior,I don't know anything about it,Permanent,,,,YES,NO
292,1,,,Mural Area Map,41917.80903,124th street,124 Street 123 Ave. Edmonton,Public Art,53.577939,-113.535891,Exterior,I don't know anything about it,Permanent,,,,YES,YES
291,0,,,Nudes by Leslie Alan Reynolds,41917.80556,"10360, 124 Street NW, Edmonton, Alberta, T5N 1R6, Canada",Two welded fabricated steel sculptures at the entrance to Douglas Udell Gallery.,"Public Art,Mainly Historical,Weird or Wacky,Trusted Reports",53.546063,-113.53619,Exterior,I don't know anything about it,Permanent,,,,YES,YES
290,1,,,Mural in east side,41916.69236,East side,#openartyeg mural http://t.co/U3qPfpWdTS,Weird or Wacky,53.570717,-113.442863,Exterior,I don't know anything about it,,,,,YES,YES
289,1,,,150 in Canada sculpture,41907.88333,Shaw,#openartyeg 150 in Canada sculpture in Shaw centre http://t.co/nNPFUlGKpL,Public Art,53.539681,-113.485438,Exterior,I don't know anything about it,,,,,YES,YES
288,1,,,Jesly john mysterious nature,41907.88403,Shaw,Jesly john mysterious nature in Shaw centre. Temporary #openartyeg http://t.co/uI6K4Hi9d6,Public Art,53.541369,-113.486246,Exterior,I don't know anything about it,Temporary,,,,YES,YES
287,1,,,Michelle liu watercolors,41907.88472,Shaw,Michelle liu watercolors in the shaw centre #openartyeg http://t.co/ZX9K5lcijo,Public Art,53.541393,-113.48622,Exterior,I don't know anything about it,Temporary,,,,YES,YES
286,1,,,Stiles,41907.88611,Shaw,"Paul freeman, Stiles 2005 mixed media #openartyeg @EdmontonSCC http://t.co/mcjJwBpyI9",Public Art,53.541411,-113.486312,Interior,I don't know anything about it,Permanent,,,,YES,YES
285,1,,,cervus erectus 2011,41907.8875,Shaw,Paul freeman cervus erectus 2011 mixed media @EdmontonSCC #openartyeg http://t.co/s7FEjv9QbB,Public Art,53.54138,-113.486276,Interior,I don't know anything about it,Permanent,,,,YES,YES
284,1,,,Green wall,41907.8875,Shaw,Green wall in @EdmontonSCC #openartyeg http://t.co/XUlC02trmF,Weird or Wacky,53.541392,-113.486261,Interior,I don't know anything about it,Permanent,,,,YES,YES
283,1,,,Old Edmonton Journal papers from the '40s,41907.88958,Shaw,Old Edmonton Journal papers from the '40s etc @EdmontonSCC  #openartyeg http://t.co/bNtv1YAeEn,Mainly Historical,53.541439,-113.486247,Exterior,I don't know anything about it,,,,,YES,YES
282,1,,,The Alberta hotel art,41907.89306,Shaw,"The Alberta hotel. Presented January 23, 1984 #openartyeg http://t.co/73n5vb3QEm",Public Art,53.54179,-113.486701,Exterior,I don't know anything about it,Permanent,,,,YES,YES
281,1,,,"Commemorates Terry ""birdman petley-jones",41907.89444,Shaw,"Commemorates Terry ""birdman petley-jones #openartyeg http://t.co/0EJQNSbIro",Public Art,53.541713,-113.486745,Exterior,I don't know anything about it,Permanent,,,,YES,YES
280,1,,,Dream big,41907.89722,Downtown,Dream big #openartyeg http://t.co/VyehUM3PIX,Public Art,53.541861,-113.48655,Exterior,I don't know anything about it,Permanent,,,,YES,YES
279,1,,,in memory of David kootook 1993,41907.89792,Downtown,#openartyeg in memory of David kootook 1993 http://t.co/KUSoNNlGo9,Public Art,53.542103,-113.485937,Exterior,I don't know anything about it,Permanent,,,,YES,YES
278,1,,,Playground looking cool,41908.00833,Beaver Hills House Park,Playground looking cool #openartyeg http://t.co/TnZp1QHmDF,Public Art,53.541467,-113.500849,Exterior,I don't know anything about it,Permanent,,,,YES,YES
277,1,,,Painted Trashcan,41908.00903,Beaver Hills House Park,"Hey it's trash but it's painted, good enough for me #openartyeg http://t.co/lNBbZqL0In",Weird or Wacky,53.541486,-113.500631,Exterior,I don't know anything about it,Permanent,,,,YES,YES
276,1,,,Beaverhills park sign,41908.00972,Beaver Hills House Park,Beaverhills park sign #openartyeg http://t.co/C8PDvclYeH,"Public Art,Weird or Wacky",53.541405,-113.500727,Exterior,I don't know anything about it,Permanent,,,,YES,YES
275,1,,,Beaver at beaverhills park,41908.01042,Beaver Hills House Park,Beaver at beaverhills park #openartyeg http://t.co/UgA2Hf7AJZ,Weird or Wacky,53.541495,-113.500819,Exterior,I don't know anything about it,Permanent,,,,YES,YES
274,1,,,Mosaic,41908.04236,Downtown,Mosaics #openartyeg http://t.co/yCL34ci1aL,Public Art,53.542575,-113.501279,Exterior,I don't know anything about it,Permanent,,,,YES,YES
273,1,,,Nabob mural,41908.04306,Downtown,Neat old murals #openartyeg,"Mainly Historical,Weird or Wacky",53.542544,-113.501264,Exterior,I don't know anything about it,Permanent,,,,YES,YES
272,1,,,early to mid 1900s phone with tulip mouthpiece,41910.71389,Armourie,"#openartyeg telephone museum open Tuesday to Friday 9-3, early to mid 1900s phone with tulip mouthpiece http://t.co/PelVAYjcLu",Mainly Historical,53.554092,-113.50087,Exterior,I don't know anything about it,,,,,YES,YES
271,1,,,early to mid 1900s phone with tulip mouthpiece,41910.71389,Armourie,"#openartyeg telephone museum open Tuesday to Friday 9-3, early to mid 1900s phone with tulip mouthpiece http://t.co/PelVAYjcLu",Mainly Historical,53.554092,-113.50087,,,,,,,YES,YES
270,1,,,cool ornaments on @churchillsquare light poles,41912.54236,Churchill Square,#openartyeg cool ornaments on @churchillsquare light poles http://t.co/oVe9PhtfBY,Public Art,53.544934,-113.490474,Exterior,I don't know anything about it,Permanent,,,,YES,YES
269,1,,,Catching neutrinos,41912.54236,Churchill Square,Catching neutrinos #openartyeg sponsored by @edmontonjournal http://t.co/SOJg4TCXkk,Public Art,53.544249,-113.490175,Exterior,I don't know anything about it,Permanent,,,,YES,YES
268,1,,,Mothers Market Murals,41912.75278,Mothers Market,@mothersmarket #openartyeg mural http://t.co/JXGc7Na3Jg,"Public Art,Weird or Wacky",53.544373,-113.508158,Exterior,I don't know anything about it,Permanent,,,,YES,YES
267,1,,,sculpture at Alta vista south,41912.75556,Near downtown,#openartyeg sculpture at Alta vista south http://t.co/E7zxyZAzl4,Public Art,53.544972,-113.511937,Exterior,I don't know anything about it,Permanent,,,,YES,YES
264,1,,,Winspear Sculpture,41913.64167,Winspear Centre,#openartyeg sculpture @winspearcentre http://t.co/hbGLhfhMhA,Public Art,53.543909,-113.489656,Exterior,I don't know anything about it,Permanent,,,,YES,YES
262,1,,,Book sculpture at @EPLdotCA,41913.64444,Stanley Milner,"This sculpture, ""The Well"", was given to the library recently by artist Cayley Lux.
Book sculpture at @EPLdotCA #openartyeg http://t.co/cUEuZnKF9n",Public Art,53.542876,-113.4897,Interior,I don't know anything about it,Permanent,,,,YES,YES
261,1,,,bust of joseph Conrad korzenowaki,41913.64583,Stanley Milner,@EPLdotCA bust of joseph Conrad korzenowaki. #openartyeg http://t.co/yY0U3xWyPv,Public Art,53.543057,-113.48968,Interior,I don't know anything about it,Permanent,,,,YES,YES
260,1,,,Painting in EPL,41913.64653,Stanley Milner,@EPLdotCA painting #openartyeg http://t.co/lDGjdWySA9,Public Art,53.542865,-113.489579,Interior,I don't know anything about it,Temporary,,,,YES,YES
259,1,,,Painting in EPL,41913.64653,Stanley Milner,@EPLdotCA painting #openartyeg http://t.co/lDGjdWySA9,Public Art,53.542865,-113.489579,Exterior,I don't know anything about it,Permanent,,,,YES,YES
258,1,,,Inuit sculpture of walrus - akeeah,41913.64722,Stanley Milner,Inuit sculpture of walrus - akeeah @EPLdotCA #openartyeg http://t.co/ATZTJxYGcY,Public Art,53.542817,-113.489562,Interior,I don't know anything about it,Permanent,,,,YES,YES
257,1,,,Stanley Milner EPL library,41913.64792,Stanley Milner,@EPLdotCA painting #openartyeg http://t.co/CP9kW02I0o,Public Art,53.543135,-113.489793,Exterior,I don't know anything about it,Temporary,,,,YES,YES
256,1,,,3d printing,41913.65,Stanley Milner,#openartyeg 3d printing http://t.co/jb3sqSWgJc,Weird or Wacky,53.543236,-113.490037,Exterior,I don't know anything about it,Temporary,,,,YES,YES
255,1,,,Rust Works by Hagen,41913.65139,Stanley Milner,@EPLdotCA #openartyeg gallery http://t.co/vxArodsihd,Public Art,53.543285,-113.489791,Interior,I don't know anything about it,Temporary,,,,YES,YES
254,1,,,Ornamental light feature,41913.65278,Downtown,#openartyeg http://t.co/QG8HwJdrws,Public Art,53.543266,-113.492168,Exterior,I don't know anything about it,Permanent,,,,YES,YES
253,1,,,Parkade Mural,41913.65347,Downtown,#openartyeg mural http://t.co/ohmW0SRScK,"Public Art,Weird or Wacky",0,0,Exterior,I don't know anything about it,Permanent,,,,YES,YES
252,1,,,Citadel/Canada Place Blue Sculpture,41913.66528,Downtpwn,One of the many random pieces of public art we have in #yeg.  #CitadelTheatre. #openartyeg @OpenEdmonton http://t.co/axZTthXHJW,Public Art,53.543577,-113.487932,Exterior,I don't know anything about it,Permanent,,,,YES,YES
251,1,,,Willow,41913.675,Borden park,This sculpture is apparently named Willow. One of my personal favorite pieces of public art. #BordenPark #openartyeg http://t.co/p5kyp4BYsi,Public Art,53.5633,-113.454802,Exterior,I don't know anything about it,Permanent,,,,YES,YES
250,1,,,A solar system at #BordenPark,41914.50278,Borden park,A solar system at #BordenPark. #openartyeg #yeg #sculpture #publicart http://t.co/Htw5zMHyDQ,Public Art,53.544178,-113.458847,Exterior,I don't know anything about it,Permanent,,,,YES,YES
249,1,,,Mirror building at #BordenPark,41914.57431,Borden park,Mirror building at #BordenPark. #,"Mainly Historical,Weird or Wacky",53.562682,-113.45757,Exterior,I don't know anything about it,Permanent,,,,YES,YES
248,1,,,Construction sidewalk turned poster and billboard area,41914.53125,Whyte Ave,Construction sidewalk turned poster and billboard area #openartyeg http://t.co/yoVfsUsmlN,"graffiti,Weird or Wacky",53.518152,-113.502427,Exterior,I don't know anything about it,Temporary,,,,YES,YES
247,1,,,concrete poetry with Mary Pinkoski,41914.60625,New Ped Bridge,#openartyeg concrete poetry with Mary Pinkoski http://t.co/s6BFoldAeo,Weird or Wacky,53.496043,-113.592269,Exterior,I don't know anything about it,Temporary,,,,YES,YES
246,1,,,Mormon Tabernacle Steeple,41914.6125,Mormon Tabernacle,Mormon Tabernacle #openartyeg http://t.co/60hYiedsYK,Mainly Historical,53.490397,-113.571773,Exterior,I don't know anything about it,Permanent,,,,YES,YES
245,1,,,aspects of history tapestry,41914.75556,City Hall,"Wendy too good Edmonton, aspects of history 1992 #openartyeg tapestry #npskickoff http://t.co/vCbR3diZRC",Public Art,53.545487,-113.489774,Exterior,I don't know anything about it,Permanent,,,,YES,YES
244,1,,,aspects of history tapestry,41914.75556,City Hall,"Wendy too good Edmonton, aspects of history 1992 #openartyeg tapestry #npskickoff http://t.co/vCbR3diZRC",Public Art,53.545487,-113.489774,,,,,,,YES,YES
